Fecha,Region,Categoria Producto,Ventas,Gasto Promociones,Descuento%,Stock Disponible,Clientes Atendidos
2021-01-01,Norte,Ropa Casual,682.1535,145.85,5,302,66
2021-01-01,Norte,Ropa Formal,722.106662800652,216.38,5,367,78
2021-01-01,Norte,Deportivo,442.93,108.82,0,169,49
2021-01-01,Norte,Accesorios,408.99,62.57,0,186,33
2021-01-01,Sur,Ropa Casual,596.56,93.23,0,349,61
2021-01-01,Sur,Ropa Formal,554.67,93.28029885846074,0,265,54
2021-01-01,Sur,Deportivo,311.86,124.45,0,145,31
2021-01-01,Sur,Accesorios,269.04150000000004,61.61980310040866,5,132,20
2021-01-01,Este,Ropa Casual,403.898,125.91,10,187,41
2021-01-01,Este,Ropa Formal,478.91,87.0,0,230,53
2021-01-01,Este,Deportivo,427.49,53.69,0,225,47
2021-01-01,Este,Accesorios,353.66,85.59,0,160,33
2021-01-01,Oeste,Ropa Casual,583.13,159.27,0,288,56
2021-01-01,Oeste,Ropa Formal,841.6485000000001,123.66,5,399,85
2021-01-01,Oeste,Deportivo,492.3765,88.52,5,264,48
2021-01-01,Oeste,Accesorios,532.34,61.43,0,267,51
2021-01-01,Centro,Ropa Casual,780.098,120.37,10,343,63
2021-01-01,Centro,Ropa Formal,745.29,242.77,0,356,72
2021-01-01,Centro,Deportivo,664.8915000000001,151.89,5,344,64
2021-01-01,Centro,Accesorios,401.44,120.12,0,192,32
2021-01-02,Norte,Ropa Casual,630.21,157.98,0,262,64
2021-01-02,Norte,Ropa Formal,673.26,169.77,0,333,69
2021-01-02,Norte,Deportivo,631.37,124.31,0,315,54
2021-01-02,Norte,Accesorios,296.01,66.41071750352953,0,149,41
2021-01-02,Sur,Ropa Casual,431.12,109.13,0,222,43
2021-01-02,Sur,Ropa Formal,727.3865,72.3694747649927,15,332,58
2021-01-02,Sur,Deportivo,519.7610000000001,46.42,10,218,47
2021-01-02,Sur,Accesorios,240.61,70.49356970119874,0,122,21
2021-01-02,Este,Ropa Casual,380.083,122.2,10,183,29
2021-01-02,Este,Ropa Formal,675.19,138.38,0,321,65
2021-01-02,Este,Deportivo,535.394,66.57,15,260,59
